STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Total_Crimes
ANDHRA PRADESH_VIJAYAWADA,2007,0,2,2,0,0,0,53,5,2,65,129
ANDHRA PRADESH_VIJAYAWADA,2008,0,0,2,0,0,0,102,3,1,79,187
ANDHRA PRADESH_VIJAYAWADA,2009,0,3,11,0,2,0,132,7,0,72,227
ANDHRA PRADESH_VIJAYAWADA,2010,2,1,4,0,0,0,129,7,0,130,273
ANDHRA PRADESH_VISAKHA RURAL,2001,0,0,0,0,0,0,5,8,43,46,102
ANDHRA PRADESH_VISAKHA RURAL,2002,0,0,0,0,0,0,10,7,31,42,90
ANDHRA PRADESH_VISAKHA RURAL,2003,0,1,0,0,0,0,0,45,4,50,100
ANDHRA PRADESH_VISAKHA RURAL,2004,0,1,0,0,0,0,7,11,0,26,45
ANDHRA PRADESH_VISAKHA RURAL,2005,1,2,0,0,0,0,0,34,0,41,78
ANDHRA PRADESH_VISAKHA RURAL,2006,0,0,0,0,0,0,0,55,0,0,55
ANDHRA PRADESH_VISAKHA RURAL,2007,0,0,0,0,0,0,0,46,0,10,56
ANDHRA PRADESH_VISAKHA RURAL,2008,0,1,0,0,0,0,0,49,0,0,50
ANDHRA PRADESH_VISAKHA RURAL,2009,0,0,0,0,1,0,1,51,0,0,53
ANDHRA PRADESH_VISAKHA RURAL,2010,0,1,0,0,0,0,8,63,0,40,112
ANDHRA PRADESH_VISAKHAPATNAM,2001,0,0,0,0,0,0,2,14,3,6,25
ANDHRA PRADESH_VISAKHAPATNAM,2002,0,0,0,0,0,0,0,5,4,7,16
ANDHRA PRADESH_VISAKHAPATNAM,2003,0,1,0,0,0,0,1,12,2,7,23
ANDHRA PRADESH_VISAKHAPATNAM,2004,2,2,0,0,0,0,1,8,0,7,20
ANDHRA PRADESH_VISAKHAPATNAM,2005,0,3,0,0,0,0,1,35,0,0,39
ANDHRA PRADESH_VISAKHAPATNAM,2006,0,0,0,0,0,0,2,25,0,6,33
ANDHRA PRADESH_VISAKHAPATNAM,2007,0,2,0,0,0,0,8,29,0,32,71
ANDHRA PRADESH_VISAKHAPATNAM,2008,0,4,0,0,0,1,2,22,0,22,51
ANDHRA PRADESH_VISAKHAPATNAM,2009,0,3,0,0,0,0,16,25,0,13,57
ANDHRA PRADESH_VISAKHAPATNAM,2010,0,2,0,0,1,0,3,39,0,16,61
ANDHRA PRADESH_VIZIANAGARAM,2001,2,2,0,0,0,0,0,2,17,21,44
ANDHRA PRADESH_VIZIANAGARAM,2002,0,1,0,0,0,1,0,13,38,55,108
ANDHRA PRADESH_VIZIANAGARAM,2003,0,0,0,0,0,0,0,8,35,0,43
ANDHRA PRADESH_VIZIANAGARAM,2004,1,0,0,0,0,0,0,6,14,0,21
ANDHRA PRADESH_VIZIANAGARAM,2005,0,2,0,0,0,0,2,11,15,1,31
ANDHRA PRADESH_VIZIANAGARAM,2006,1,1,0,0,0,0,2,20,14,1,39
ANDHRA PRADESH_VIZIANAGARAM,2007,1,0,0,0,0,0,0,25,4,29,59
ANDHRA PRADESH_VIZIANAGARAM,2008,1,1,0,0,0,0,0,31,13,0,46
ANDHRA PRADESH_VIZIANAGARAM,2009,0,3,0,0,0,0,0,40,3,0,46
ANDHRA PRADESH_VIZIANAGARAM,2010,1,0,0,0,0,0,0,58,2,0,61
ANDHRA PRADESH_WARANGAL,2001,0,3,0,0,0,0,7,22,9,57,98
ANDHRA PRADESH_WARANGAL,2002,0,2,0,0,0,0,3,30,17,60,112
ANDHRA PRADESH_WARANGAL,2003,0,2,0,0,0,0,8,59,0,91,160
ANDHRA PRADESH_WARANGAL,2004,0,4,0,0,0,0,12,82,0,66,164
ANDHRA PRADESH_WARANGAL,2005,0,3,0,0,0,0,11,14,0,20,48
ANDHRA PRADESH_WARANGAL,2006,1,2,0,0,0,0,35,39,1,25,103
ANDHRA PRADESH_WARANGAL,2007,0,5,0,0,0,0,27,41,0,23,96
ANDHRA PRADESH_WARANGAL,2008,0,2,0,0,0,0,32,29,0,33,96
ANDHRA PRADESH_WARANGAL,2009,1,3,0,0,0,0,27,80,0,23,134
ANDHRA PRADESH_WARANGAL,2010,1,1,0,0,0,0,10,14,0,14,40
ANDHRA PRADESH_WARANGAL URBAN,2001,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2002,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2003,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2004,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2005,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2006,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2007,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2008,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2009,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2010,1,1,0,0,0,0,8,0,0,29,39
ANDHRA PRADESH_WEST GODAVARI,2001,0,1,0,0,0,0,7,43,10,27,88
ANDHRA PRADESH_WEST GODAVARI,2002,1,6,3,0,1,0,29,49,10,58,157
ANDHRA PRADESH_WEST GODAVARI,2003,2,7,4,0,0,0,23,76,6,86,204
ANDHRA PRADESH_WEST GODAVARI,2004,2,7,1,0,0,0,16,68,0,73,167
ANDHRA PRADESH_WEST GODAVARI,2005,4,8,0,0,0,1,24,57,0,83,177
ANDHRA PRADESH_WEST GODAVARI,2006,2,6,0,0,0,0,28,164,1,135,336
ANDHRA PRADESH_WEST GODAVARI,2007,2,7,0,0,0,0,20,43,0,80,152
ANDHRA PRADESH_WEST GODAVARI,2008,4,7,0,0,0,1,27,74,0,152,265
ANDHRA PRADESH_WEST GODAVARI,2009,3,9,2,0,0,0,50,269,0,201,534
ANDHRA PRADESH_WEST GODAVARI,2010,1,11,2,0,0,0,20,148,0,106,288
ARUNACHAL PRADESH_ANJAW,2001,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2002,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2003,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2004,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2005,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2006,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2007,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2008,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2009,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2010,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2001,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2002,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2003,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2004,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2005,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2006,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2007,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2008,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_CHANGLANG,2009,0,0,0,0,0,0,0,0,0,0,0
