STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against STs,Total_Crimes
ANDHRA PRADESH_VISAKHAPATNAM,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_VISAKHAPATNAM,2008,0,0,0.0,0,0,0,0,0,0,10,10.0
ANDHRA PRADESH_VISAKHAPATNAM,2009,0,1,0.0,0,0,0,1,0,0,1,3.0
ANDHRA PRADESH_VISAKHAPATNAM,2010,0,0,0.0,0,0,0,0,2,0,2,4.0
ANDHRA PRADESH_VIZIANAGARAM,2001,0,0,0.0,0,0,0,0,3,21,5,29.0
ANDHRA PRADESH_VIZIANAGARAM,2002,0,0,0.0,0,0,0,0,0,17,6,23.0
ANDHRA PRADESH_VIZIANAGARAM,2003,0,0,0.0,0,0,0,0,1,1,0,2.0
ANDHRA PRADESH_VIZIANAGARAM,2004,0,1,0.0,0,0,0,0,2,0,0,3.0
ANDHRA PRADESH_VIZIANAGARAM,2005,0,0,0.0,0,0,0,0,4,0,0,4.0
ANDHRA PRADESH_VIZIANAGARAM,2006,0,0,0.0,0,0,0,0,6,1,0,7.0
ANDHRA PRADESH_VIZIANAGARAM,2007,0,0,0.0,0,0,0,0,2,0,1,3.0
ANDHRA PRADESH_VIZIANAGARAM,2008,0,0,0.0,0,0,0,0,4,2,0,6.0
ANDHRA PRADESH_VIZIANAGARAM,2009,0,0,0.0,0,0,0,0,8,0,0,8.0
ANDHRA PRADESH_VIZIANAGARAM,2010,0,0,0.0,0,0,0,0,4,0,0,4.0
ANDHRA PRADESH_WARANGAL,2001,0,5,0.0,0,0,0,3,25,0,45,78.0
ANDHRA PRADESH_WARANGAL,2002,0,0,0.0,0,0,0,2,13,0,25,40.0
ANDHRA PRADESH_WARANGAL,2003,0,8,0.0,0,0,0,2,28,0,45,83.0
ANDHRA PRADESH_WARANGAL,2004,0,5,0.0,0,0,0,3,39,0,31,78.0
ANDHRA PRADESH_WARANGAL,2005,1,1,0.0,0,0,0,6,15,0,12,35.0
ANDHRA PRADESH_WARANGAL,2006,1,2,0.0,0,0,0,24,24,0,12,63.0
ANDHRA PRADESH_WARANGAL,2007,3,5,0.0,0,0,0,15,19,0,14,56.0
ANDHRA PRADESH_WARANGAL,2008,0,12,0.0,0,0,0,9,19,0,26,66.0
ANDHRA PRADESH_WARANGAL,2009,0,2,0.0,0,0,0,15,38,0,14,69.0
ANDHRA PRADESH_WARANGAL,2010,0,4,0.0,0,0,0,4,5,0,5,18.0
ANDHRA PRADESH_WARANGAL URBAN,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2005,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2008,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_WARANGAL URBAN,2010,0,0,0.0,0,0,0,1,0,0,11,12.0
ANDHRA PRADESH_WEST GODAVARI,2001,0,0,0.0,0,0,0,1,3,0,2,6.0
ANDHRA PRADESH_WEST GODAVARI,2002,0,1,0.0,0,0,0,0,1,3,10,15.0
ANDHRA PRADESH_WEST GODAVARI,2003,0,0,0.0,0,0,0,0,0,0,5,5.0
ANDHRA PRADESH_WEST GODAVARI,2004,0,1,0.0,0,0,0,1,2,0,9,13.0
ANDHRA PRADESH_WEST GODAVARI,2005,1,2,0.0,0,0,0,4,10,0,7,24.0
ANDHRA PRADESH_WEST GODAVARI,2006,0,2,0.0,0,0,0,3,20,0,15,40.0
ANDHRA PRADESH_WEST GODAVARI,2007,0,0,0.0,0,0,1,0,4,0,14,19.0
ANDHRA PRADESH_WEST GODAVARI,2008,0,1,0.0,0,0,0,1,0,0,16,18.0
ANDHRA PRADESH_WEST GODAVARI,2009,0,1,0.0,0,0,0,1,2,0,4,8.0
ANDHRA PRADESH_WEST GODAVARI,2010,0,0,0.0,0,0,1,0,0,0,7,8.0
ARUNACHAL PRADESH_ANJAW,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2005,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2008,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_ANJAW,2010,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_CHANGLANG,2001,0,0,0.0,0,0,0,4,0,0,1,5.0
ARUNACHAL PRADESH_CHANGLANG,2002,1,0,0.0,0,0,0,0,0,0,5,6.0
ARUNACHAL PRADESH_CHANGLANG,2003,0,0,0.0,0,0,0,2,0,0,1,3.0
ARUNACHAL PRADESH_CHANGLANG,2004,1,0,0.0,0,0,0,1,0,0,8,10.0
ARUNACHAL PRADESH_CHANGLANG,2005,0,0,0.0,0,0,0,2,0,0,0,2.0
ARUNACHAL PRADESH_CHANGLANG,2006,0,0,0.0,0,0,0,1,0,0,0,1.0
ARUNACHAL PRADESH_CHANGLANG,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_CHANGLANG,2008,0,0,0.0,0,0,0,3,0,0,1,4.0
ARUNACHAL PRADESH_CHANGLANG,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_CHANGLANG,2010,0,0,0.0,0,0,0,1,0,0,2,3.0
ARUNACHAL PRADESH_DIBANG VALLEY,2001,0,0,0.0,0,0,0,2,0,0,4,6.0
ARUNACHAL PRADESH_DIBANG VALLEY,2002,0,0,0.0,0,0,0,1,0,0,8,9.0
ARUNACHAL PRADESH_DIBANG VALLEY,2003,0,1,0.0,0,0,0,1,0,0,2,4.0
ARUNACHAL PRADESH_DIBANG VALLEY,2004,1,0,0.0,0,0,0,0,0,0,1,2.0
ARUNACHAL PRADESH_DIBANG VALLEY,2005,0,0,0.0,0,0,0,1,0,0,1,2.0
ARUNACHAL PRADESH_DIBANG VALLEY,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_DIBANG VALLEY,2007,0,0,0.0,0,0,0,1,0,0,0,1.0
ARUNACHAL PRADESH_DIBANG VALLEY,2008,0,0,0.0,0,0,0,4,0,0,2,6.0
ARUNACHAL PRADESH_DIBANG VALLEY,2009,0,0,0.0,0,0,0,2,0,0,0,2.0
ARUNACHAL PRADESH_DIBANG VALLEY,2010,0,0,0.0,0,0,0,2,0,0,4,6.0
ARUNACHAL PRADESH_K/KUMEY,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_K/KUMEY,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_K/KUMEY,2003,0,0,0.0,0,0,0,3,0,0,5,8.0
ARUNACHAL PRADESH_K/KUMEY,2004,0,0,0.0,0,0,0,0,0,0,1,1.0
ARUNACHAL PRADESH_K/KUMEY,2005,0,0,0.0,0,0,0,3,0,0,3,6.0
ARUNACHAL PRADESH_K/KUMEY,2006,0,0,0.0,0,0,0,1,0,0,0,1.0
ARUNACHAL PRADESH_K/KUMEY,2007,0,0,0.0,0,0,0,2,0,0,3,5.0
ARUNACHAL PRADESH_K/KUMEY,2008,0,0,0.0,0,0,0,3,0,0,2,5.0
ARUNACHAL PRADESH_K/KUMEY,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_K/KUMEY,2010,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_KAMENG EAST,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_KAMENG EAST,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_KAMENG EAST,2003,0,0,0.0,0,0,0,1,0,0,3,4.0
ARUNACHAL PRADESH_KAMENG EAST,2004,0,0,0.0,0,0,0,1,0,0,0,1.0
ARUNACHAL PRADESH_KAMENG EAST,2005,0,0,0.0,0,1,0,4,0,0,2,7.0
ARUNACHAL PRADESH_KAMENG EAST,2006,0,0,0.0,0,0,0,2,0,0,2,4.0
ARUNACHAL PRADESH_KAMENG EAST,2007,0,0,0.0,0,0,0,3,0,0,1,4.0
ARUNACHAL PRADESH_KAMENG EAST,2008,0,0,0.0,0,0,0,3,0,0,2,5.0
ARUNACHAL PRADESH_KAMENG EAST,2009,0,0,0.0,0,0,0,0,0,0,1,1.0
ARUNACHAL PRADESH_KAMENG EAST,2010,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_KAMENG WEST,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_KAMENG WEST,2002,0,0,0.0,0,0,0,4,0,0,1,5.0
ARUNACHAL PRADESH_KAMENG WEST,2003,0,0,0.0,0,0,0,1,0,0,0,1.0
ARUNACHAL PRADESH_KAMENG WEST,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_KAMENG WEST,2005,0,0,0.0,0,0,0,0,0,0,0,0.0
