STATE_DISTRICT,Year,Total_Crimes,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
ANDHRA PRADESH_RANGAREDDY,2009,1803.0,108,133,66,217,180,1099,0
ANDHRA PRADESH_RANGAREDDY,2010,3012.0,114,91,62,196,1283,1266,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2001,2.0,0,0,1,0,1,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2002,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2003,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2004,5.0,0,0,2,1,0,2,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2005,4.0,0,0,2,1,1,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2006,6.0,2,1,2,0,0,1,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2007,2.0,0,0,0,2,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2008,3.0,2,0,0,1,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2009,3.0,0,0,0,3,0,0,0
ANDHRA PRADESH_SECUNDERABAD RLY.,2010,6.0,1,1,0,2,2,0,0
ANDHRA PRADESH_SRIKAKULAM,2001,219.0,8,12,6,38,47,108,0
ANDHRA PRADESH_SRIKAKULAM,2002,217.0,14,9,4,60,16,114,0
ANDHRA PRADESH_SRIKAKULAM,2003,269.0,9,4,7,58,44,147,0
ANDHRA PRADESH_SRIKAKULAM,2004,276.0,15,13,14,58,11,165,0
ANDHRA PRADESH_SRIKAKULAM,2005,268.0,15,16,9,51,40,137,0
ANDHRA PRADESH_SRIKAKULAM,2006,334.0,27,21,3,70,25,188,0
ANDHRA PRADESH_SRIKAKULAM,2007,562.0,30,19,12,99,57,345,0
ANDHRA PRADESH_SRIKAKULAM,2008,530.0,32,14,6,92,72,314,0
ANDHRA PRADESH_SRIKAKULAM,2009,369.0,21,20,6,67,44,211,0
ANDHRA PRADESH_SRIKAKULAM,2010,489.0,35,31,5,93,92,233,0
ANDHRA PRADESH_TIRUPATHI URBAN,2001,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2002,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2003,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2004,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2005,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2006,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2007,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2008,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2009,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_TIRUPATHI URBAN,2010,178.0,10,15,5,38,25,85,0
ANDHRA PRADESH_VIJAYAWADA,2001,804.0,26,48,2,85,123,520,0
ANDHRA PRADESH_VIJAYAWADA,2002,1247.0,32,43,9,121,171,871,0
ANDHRA PRADESH_VIJAYAWADA,2003,1606.0,27,45,7,170,149,1208,0
ANDHRA PRADESH_VIJAYAWADA,2004,1085.0,19,43,10,138,196,679,0
ANDHRA PRADESH_VIJAYAWADA,2005,573.0,32,49,8,66,122,296,0
ANDHRA PRADESH_VIJAYAWADA,2006,724.0,21,60,8,140,159,336,0
ANDHRA PRADESH_VIJAYAWADA,2007,946.0,17,49,10,135,203,532,0
ANDHRA PRADESH_VIJAYAWADA,2008,828.0,30,36,9,105,253,395,0
ANDHRA PRADESH_VIJAYAWADA,2009,901.0,23,53,17,177,198,433,0
ANDHRA PRADESH_VIJAYAWADA,2010,1138.0,26,65,20,178,219,630,0
ANDHRA PRADESH_VISAKHA RURAL,2001,241.0,12,12,3,67,48,99,0
ANDHRA PRADESH_VISAKHA RURAL,2002,207.0,14,0,2,65,41,85,0
ANDHRA PRADESH_VISAKHA RURAL,2003,192.0,15,15,3,54,16,89,0
ANDHRA PRADESH_VISAKHA RURAL,2004,211.0,18,12,3,54,30,94,0
ANDHRA PRADESH_VISAKHA RURAL,2005,231.0,18,8,7,36,9,153,0
ANDHRA PRADESH_VISAKHA RURAL,2006,262.0,6,11,4,45,38,158,0
ANDHRA PRADESH_VISAKHA RURAL,2007,278.0,12,11,7,57,24,167,0
ANDHRA PRADESH_VISAKHA RURAL,2008,318.0,12,9,10,79,40,168,0
ANDHRA PRADESH_VISAKHA RURAL,2009,309.0,14,7,8,57,56,167,0
ANDHRA PRADESH_VISAKHA RURAL,2010,428.0,42,12,8,92,52,222,0
ANDHRA PRADESH_VISAKHAPATNAM,2001,718.0,13,6,0,33,462,204,0
ANDHRA PRADESH_VISAKHAPATNAM,2002,302.0,8,10,3,28,18,235,0
ANDHRA PRADESH_VISAKHAPATNAM,2003,219.0,9,20,3,11,30,146,0
ANDHRA PRADESH_VISAKHAPATNAM,2004,339.0,12,16,1,24,43,243,0
ANDHRA PRADESH_VISAKHAPATNAM,2005,537.0,28,15,2,45,86,361,0
ANDHRA PRADESH_VISAKHAPATNAM,2006,560.0,21,40,10,62,30,397,0
ANDHRA PRADESH_VISAKHAPATNAM,2007,721.0,24,23,14,100,25,535,0
ANDHRA PRADESH_VISAKHAPATNAM,2008,645.0,29,26,13,87,2,488,0
ANDHRA PRADESH_VISAKHAPATNAM,2009,708.0,39,26,13,95,54,481,0
ANDHRA PRADESH_VISAKHAPATNAM,2010,592.0,53,24,11,59,52,393,0
ANDHRA PRADESH_VIZIANAGARAM,2001,193.0,8,2,0,40,22,121,0
ANDHRA PRADESH_VIZIANAGARAM,2002,266.0,12,0,1,38,25,190,0
ANDHRA PRADESH_VIZIANAGARAM,2003,196.0,6,0,4,34,25,127,0
ANDHRA PRADESH_VIZIANAGARAM,2004,261.0,14,7,6,53,26,155,0
ANDHRA PRADESH_VIZIANAGARAM,2005,283.0,12,9,7,41,28,186,0
ANDHRA PRADESH_VIZIANAGARAM,2006,299.0,16,16,5,69,22,171,0
ANDHRA PRADESH_VIZIANAGARAM,2007,439.0,10,20,3,90,46,270,0
ANDHRA PRADESH_VIZIANAGARAM,2008,424.0,6,14,3,88,60,253,0
ANDHRA PRADESH_VIZIANAGARAM,2009,538.0,13,12,8,103,105,297,0
ANDHRA PRADESH_VIZIANAGARAM,2010,559.0,32,15,14,101,85,312,0
ANDHRA PRADESH_WARANGAL,2001,536.0,53,25,52,241,0,165,0
ANDHRA PRADESH_WARANGAL,2002,524.0,52,58,45,212,0,157,0
ANDHRA PRADESH_WARANGAL,2003,549.0,61,69,35,222,0,162,0
ANDHRA PRADESH_WARANGAL,2004,574.0,53,88,43,228,0,162,0
ANDHRA PRADESH_WARANGAL,2005,735.0,34,64,29,226,50,332,0
ANDHRA PRADESH_WARANGAL,2006,934.0,50,78,40,230,56,480,0
ANDHRA PRADESH_WARANGAL,2007,1159.0,57,109,56,279,50,608,0
ANDHRA PRADESH_WARANGAL,2008,953.0,59,62,36,223,54,519,0
ANDHRA PRADESH_WARANGAL,2009,940.0,70,130,49,234,25,432,0
ANDHRA PRADESH_WARANGAL,2010,232.0,28,39,7,98,10,50,0
ANDHRA PRADESH_WARANGAL URBAN,2001,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2002,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2003,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2004,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2005,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2006,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2007,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2008,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2009,0.0,0,0,0,0,0,0,0
ANDHRA PRADESH_WARANGAL URBAN,2010,544.0,17,28,12,50,25,412,0
ANDHRA PRADESH_WEST GODAVARI,2001,747.0,61,21,15,246,56,348,0
ANDHRA PRADESH_WEST GODAVARI,2002,841.0,54,32,12,223,73,447,0
