STATE_DISTRICT,Year,Total_Crimes,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
UTTAR PRADESH_AURAIYA,2002,122.0,10,17,29,20,4,42,0
UTTAR PRADESH_AURAIYA,2003,78.0,4,10,16,11,24,13,0
UTTAR PRADESH_AURAIYA,2004,74.0,4,21,20,11,2,16,0
UTTAR PRADESH_AURAIYA,2005,102.0,9,22,22,15,8,26,0
UTTAR PRADESH_AURAIYA,2006,98.0,10,25,22,13,6,22,0
UTTAR PRADESH_AURAIYA,2007,125.0,9,26,34,17,10,29,0
UTTAR PRADESH_AURAIYA,2008,107.0,11,27,12,7,14,36,0
UTTAR PRADESH_AURAIYA,2009,138.0,11,35,26,20,16,30,0
UTTAR PRADESH_AURAIYA,2010,123.0,11,40,17,19,0,36,0
UTTAR PRADESH_AZAMGARH,2001,194.0,11,41,32,14,15,81,0
UTTAR PRADESH_AZAMGARH,2002,159.0,7,7,23,27,23,72,0
UTTAR PRADESH_AZAMGARH,2003,147.0,6,23,16,18,39,45,0
UTTAR PRADESH_AZAMGARH,2004,263.0,16,37,27,23,10,150,0
UTTAR PRADESH_AZAMGARH,2005,275.0,10,32,27,26,24,156,0
UTTAR PRADESH_AZAMGARH,2006,167.0,13,20,29,13,24,68,0
UTTAR PRADESH_AZAMGARH,2007,165.0,11,29,29,15,26,55,0
UTTAR PRADESH_AZAMGARH,2008,253.0,24,56,35,17,35,86,0
UTTAR PRADESH_AZAMGARH,2009,252.0,17,64,31,26,31,83,0
UTTAR PRADESH_AZAMGARH,2010,198.0,23,65,23,17,0,70,0
UTTAR PRADESH_BADAUN,2001,291.0,47,41,62,51,14,76,0
UTTAR PRADESH_BADAUN,2002,237.0,31,46,44,48,5,63,0
UTTAR PRADESH_BADAUN,2003,232.0,31,40,28,29,89,15,0
UTTAR PRADESH_BADAUN,2004,231.0,35,43,50,47,19,37,0
UTTAR PRADESH_BADAUN,2005,222.0,22,60,32,39,22,47,0
UTTAR PRADESH_BADAUN,2006,187.0,29,42,33,38,11,34,0
UTTAR PRADESH_BADAUN,2007,154.0,11,40,31,29,18,25,0
UTTAR PRADESH_BADAUN,2008,183.0,11,41,32,27,47,25,0
UTTAR PRADESH_BADAUN,2009,240.0,29,67,43,28,18,55,0
UTTAR PRADESH_BADAUN,2010,229.0,22,69,48,49,0,41,0
UTTAR PRADESH_BAGHPAT,2001,146.0,15,17,20,18,12,64,0
UTTAR PRADESH_BAGHPAT,2002,122.0,15,15,17,14,16,45,0
UTTAR PRADESH_BAGHPAT,2003,113.0,12,14,10,9,45,23,0
UTTAR PRADESH_BAGHPAT,2004,135.0,11,18,16,12,22,56,0
UTTAR PRADESH_BAGHPAT,2005,157.0,13,26,10,15,19,74,0
UTTAR PRADESH_BAGHPAT,2006,146.0,12,27,12,11,24,60,0
UTTAR PRADESH_BAGHPAT,2007,158.0,17,27,22,10,22,60,0
UTTAR PRADESH_BAGHPAT,2008,162.0,19,43,15,16,8,61,0
UTTAR PRADESH_BAGHPAT,2009,174.0,15,45,16,6,20,72,0
UTTAR PRADESH_BAGHPAT,2010,169.0,14,41,14,13,0,87,0
UTTAR PRADESH_BAHRAICH,2001,146.0,14,19,19,15,17,62,0
UTTAR PRADESH_BAHRAICH,2002,65.0,14,17,16,10,8,0,0
UTTAR PRADESH_BAHRAICH,2003,316.0,5,8,7,8,271,17,0
UTTAR PRADESH_BAHRAICH,2004,129.0,16,26,16,12,35,24,0
UTTAR PRADESH_BAHRAICH,2005,164.0,25,39,21,20,38,21,0
UTTAR PRADESH_BAHRAICH,2006,153.0,21,33,24,25,15,35,0
UTTAR PRADESH_BAHRAICH,2007,188.0,34,44,28,20,25,37,0
UTTAR PRADESH_BAHRAICH,2008,196.0,24,62,27,24,22,37,0
UTTAR PRADESH_BAHRAICH,2009,288.0,38,86,32,33,27,72,0
UTTAR PRADESH_BAHRAICH,2010,318.0,25,127,42,40,1,83,0
UTTAR PRADESH_BALLIA,2001,118.0,18,17,19,7,22,35,0
UTTAR PRADESH_BALLIA,2002,117.0,7,14,16,12,45,23,0
UTTAR PRADESH_BALLIA,2003,54.0,2,3,8,8,25,8,0
UTTAR PRADESH_BALLIA,2004,90.0,6,12,11,15,13,33,0
UTTAR PRADESH_BALLIA,2005,41.0,2,4,12,7,5,11,0
UTTAR PRADESH_BALLIA,2006,71.0,10,8,11,8,14,20,0
UTTAR PRADESH_BALLIA,2007,72.0,10,18,13,10,10,11,0
UTTAR PRADESH_BALLIA,2008,129.0,12,27,20,15,12,43,0
UTTAR PRADESH_BALLIA,2009,146.0,9,25,31,19,9,53,0
UTTAR PRADESH_BALLIA,2010,100.0,4,28,30,14,0,24,0
UTTAR PRADESH_BALRAMPUR,2001,103.0,8,19,12,23,11,30,0
UTTAR PRADESH_BALRAMPUR,2002,52.0,13,9,5,9,5,11,0
UTTAR PRADESH_BALRAMPUR,2003,62.0,3,4,3,1,45,6,0
UTTAR PRADESH_BALRAMPUR,2004,42.0,5,5,3,8,13,8,0
UTTAR PRADESH_BALRAMPUR,2005,35.0,6,5,4,9,4,7,0
UTTAR PRADESH_BALRAMPUR,2006,57.0,8,11,9,11,3,15,0
UTTAR PRADESH_BALRAMPUR,2007,91.0,10,17,10,12,4,38,0
UTTAR PRADESH_BALRAMPUR,2008,72.0,12,20,5,12,10,13,0
UTTAR PRADESH_BALRAMPUR,2009,92.0,8,23,10,11,6,34,0
UTTAR PRADESH_BALRAMPUR,2010,66.0,11,27,5,7,0,16,0
UTTAR PRADESH_BANDA,2001,185.0,27,18,21,51,18,50,0
UTTAR PRADESH_BANDA,2002,130.0,20,6,21,31,9,43,0
UTTAR PRADESH_BANDA,2003,71.0,10,6,13,15,17,10,0
UTTAR PRADESH_BANDA,2004,118.0,21,8,27,37,8,17,0
UTTAR PRADESH_BANDA,2005,97.0,16,10,22,32,5,12,0
UTTAR PRADESH_BANDA,2006,82.0,15,9,17,20,6,15,0
UTTAR PRADESH_BANDA,2007,120.0,15,12,16,49,14,14,0
UTTAR PRADESH_BANDA,2008,253.0,35,26,36,70,19,67,0
UTTAR PRADESH_BANDA,2009,176.0,23,32,24,42,11,44,0
UTTAR PRADESH_BANDA,2010,152.0,22,34,20,39,0,37,0
UTTAR PRADESH_BARABANKI,2001,377.0,41,55,35,37,21,188,0
UTTAR PRADESH_BARABANKI,2002,307.0,32,39,27,29,9,171,0
UTTAR PRADESH_BARABANKI,2003,135.0,12,19,16,11,50,27,0
UTTAR PRADESH_BARABANKI,2004,174.0,25,37,25,27,12,48,0
UTTAR PRADESH_BARABANKI,2005,203.0,30,29,21,29,35,59,0
UTTAR PRADESH_BARABANKI,2006,251.0,21,49,25,41,48,67,0
UTTAR PRADESH_BARABANKI,2007,291.0,25,63,35,28,34,106,0
UTTAR PRADESH_BARABANKI,2008,350.0,23,82,47,34,54,110,0
UTTAR PRADESH_BARABANKI,2009,352.0,19,106,39,34,50,104,0
UTTAR PRADESH_BARABANKI,2010,263.0,22,90,20,34,0,97,0
UTTAR PRADESH_BAREILLY,2001,819.0,93,98,57,110,40,421,0
UTTAR PRADESH_BAREILLY,2002,605.0,65,93,62,70,54,261,0
UTTAR PRADESH_BAREILLY,2003,305.0,32,47,37,27,78,84,0
UTTAR PRADESH_BAREILLY,2004,522.0,41,84,44,76,73,201,3
UTTAR PRADESH_BAREILLY,2005,539.0,48,81,37,89,74,210,0
UTTAR PRADESH_BAREILLY,2006,487.0,45,81,31,70,64,196,0
UTTAR PRADESH_BAREILLY,2007,642.0,62,95,54,97,99,235,0
UTTAR PRADESH_BAREILLY,2008,615.0,46,121,47,110,89,202,0
UTTAR PRADESH_BAREILLY,2009,801.0,77,153,47,125,96,303,0
UTTAR PRADESH_BAREILLY,2010,573.0,44,163,55,97,0,214,0
UTTAR PRADESH_BASTI,2001,151.0,18,23,22,28,12,48,0
UTTAR PRADESH_BASTI,2002,131.0,16,27,24,13,20,31,0
UTTAR PRADESH_BASTI,2003,215.0,5,11,14,9,161,15,0
UTTAR PRADESH_BASTI,2004,106.0,7,21,17,12,28,21,0
UTTAR PRADESH_BASTI,2005,83.0,13,13,7,8,20,22,0
UTTAR PRADESH_BASTI,2006,96.0,10,15,12,8,21,30,0
UTTAR PRADESH_BASTI,2007,143.0,10,22,13,8,39,51,0
UTTAR PRADESH_BASTI,2008,84.0,7,18,15,5,15,24,0
UTTAR PRADESH_BASTI,2009,64.0,12,22,15,3,0,12,0
UTTAR PRADESH_BASTI,2010,76.0,8,30,14,7,0,17,0
UTTAR PRADESH_BIJNOR,2001,463.0,38,59,31,67,38,230,0
UTTAR PRADESH_BIJNOR,2002,332.0,26,49,34,34,33,156,0
UTTAR PRADESH_BIJNOR,2003,394.0,20,23,24,23,254,50,0
UTTAR PRADESH_BIJNOR,2004,277.0,25,29,21,23,47,132,0
UTTAR PRADESH_BIJNOR,2005,205.0,22,26,26,26,45,60,0
UTTAR PRADESH_BIJNOR,2006,294.0,25,46,18,25,75,105,0
UTTAR PRADESH_BIJNOR,2007,397.0,27,48,26,33,75,188,0
UTTAR PRADESH_BIJNOR,2008,483.0,30,80,19,52,53,249,0
UTTAR PRADESH_BIJNOR,2009,442.0,30,75,22,46,44,225,0
UTTAR PRADESH_BIJNOR,2010,477.0,40,100,27,56,0,254,0
UTTAR PRADESH_BULANDSHAHAR,2001,657.0,31,64,45,71,219,227,0
UTTAR PRADESH_BULANDSHAHAR,2002,499.0,33,60,47,70,104,185,0
UTTAR PRADESH_BULANDSHAHAR,2003,297.0,13,30,25,26,98,105,0
UTTAR PRADESH_BULANDSHAHAR,2004,416.0,40,69,36,51,114,106,0
UTTAR PRADESH_BULANDSHAHAR,2005,418.0,33,60,41,62,116,106,0
UTTAR PRADESH_BULANDSHAHAR,2006,424.0,27,49,33,63,150,102,0
UTTAR PRADESH_BULANDSHAHAR,2007,595.0,44,93,36,75,120,227,0
UTTAR PRADESH_BULANDSHAHAR,2008,393.0,28,60,29,51,74,151,0
UTTAR PRADESH_BULANDSHAHAR,2009,416.0,38,81,53,36,24,184,0
UTTAR PRADESH_BULANDSHAHAR,2010,578.0,24,127,40,60,0,327,0
UTTAR PRADESH_CHANDOLI,2001,66.0,4,11,16,13,0,22,0
UTTAR PRADESH_CHANDOLI,2002,69.0,6,6,14,11,8,24,0
UTTAR PRADESH_CHANDOLI,2003,38.0,3,2,11,5,14,3,0
UTTAR PRADESH_CHANDOLI,2004,50.0,5,3,10,2,12,18,0
UTTAR PRADESH_CHANDOLI,2005,83.0,6,3,9,5,50,10,0
UTTAR PRADESH_CHANDOLI,2006,114.0,3,12,12,5,41,41,0
UTTAR PRADESH_CHANDOLI,2007,145.0,6,12,22,8,34,63,0
UTTAR PRADESH_CHANDOLI,2008,152.0,4,9,19,10,19,91,0
UTTAR PRADESH_CHANDOLI,2009,130.0,3,18,13,4,4,88,0
UTTAR PRADESH_CHANDOLI,2010,103.0,3,12,15,6,0,67,0
UTTAR PRADESH_CHITRAKOOT DHAM,2001,41.0,8,3,8,16,4,2,0
UTTAR PRADESH_CHITRAKOOT DHAM,2002,54.0,8,2,9,23,2,10,0
UTTAR PRADESH_CHITRAKOOT DHAM,2003,30.0,10,0,6,7,0,7,0
UTTAR PRADESH_CHITRAKOOT DHAM,2004,38.0,10,4,8,9,2,5,0
UTTAR PRADESH_CHITRAKOOT DHAM,2005,40.0,10,0,12,12,0,6,0
UTTAR PRADESH_CHITRAKOOT DHAM,2006,42.0,13,3,9,9,0,8,0
UTTAR PRADESH_CHITRAKOOT DHAM,2007,60.0,23,2,7,14,1,13,0
UTTAR PRADESH_CHITRAKOOT DHAM,2008,82.0,22,5,17,21,0,17,0
UTTAR PRADESH_CHITRAKOOT DHAM,2009,74.0,20,10,9,22,1,12,0
UTTAR PRADESH_CHITRAKOOT DHAM,2010,82.0,15,13,15,23,0,16,0
UTTAR PRADESH_CSM NAGAR,2001,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2002,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2003,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2004,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2005,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2006,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2007,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2008,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2009,0.0,0,0,0,0,0,0,0
UTTAR PRADESH_CSM NAGAR,2010,144.0,30,75,13,17,0,9,0
UTTAR PRADESH_DEORIA,2001,141.0,7,33,27,15,15,44,0
UTTAR PRADESH_DEORIA,2002,76.0,5,18,15,10,10,18,0
UTTAR PRADESH_DEORIA,2003,66.0,3,12,21,7,9,14,0
UTTAR PRADESH_DEORIA,2004,105.0,12,23,16,10,13,31,0
UTTAR PRADESH_DEORIA,2005,80.0,7,17,17,7,5,27,0
UTTAR PRADESH_DEORIA,2006,75.0,5,14,23,8,2,23,0
UTTAR PRADESH_DEORIA,2007,80.0,2,17,25,8,3,25,0
UTTAR PRADESH_DEORIA,2008,114.0,15,13,36,6,17,27,0
UTTAR PRADESH_DEORIA,2009,136.0,9,38,30,15,12,32,0
UTTAR PRADESH_DEORIA,2010,56.0,4,18,21,4,0,9,0
UTTAR PRADESH_ETAH,2001,432.0,57,59,68,68,24,156,0
UTTAR PRADESH_ETAH,2002,310.0,37,49,81,43,15,85,0
UTTAR PRADESH_ETAH,2003,150.0,18,23,38,19,15,37,0
UTTAR PRADESH_ETAH,2004,211.0,26,26,47,44,7,61,0
UTTAR PRADESH_ETAH,2005,214.0,16,33,43,34,26,62,0
UTTAR PRADESH_ETAH,2006,212.0,28,26,46,26,31,55,0
UTTAR PRADESH_ETAH,2007,308.0,39,66,56,48,22,77,0
UTTAR PRADESH_ETAH,2008,249.0,20,66,34,41,17,71,0
UTTAR PRADESH_ETAH,2009,247.0,18,45,42,37,13,92,0
UTTAR PRADESH_ETAH,2010,218.0,11,60,30,45,0,72,0
UTTAR PRADESH_ETAWAH,2001,174.0,20,22,29,25,26,52,0
UTTAR PRADESH_ETAWAH,2002,133.0,12,21,25,32,11,32,0
UTTAR PRADESH_ETAWAH,2003,63.0,2,9,16,12,6,18,0
UTTAR PRADESH_ETAWAH,2004,118.0,9,25,13,15,10,46,0
UTTAR PRADESH_ETAWAH,2005,150.0,12,28,29,20,35,26,0
UTTAR PRADESH_ETAWAH,2006,146.0,10,36,30,18,22,30,0
UTTAR PRADESH_ETAWAH,2007,279.0,14,54,28,31,37,115,0
UTTAR PRADESH_ETAWAH,2008,291.0,19,64,28,43,29,108,0
UTTAR PRADESH_ETAWAH,2009,295.0,5,62,35,42,39,112,0
UTTAR PRADESH_ETAWAH,2010,177.0,4,44,29,19,0,81,0
UTTAR PRADESH_FAIZABAD,2001,156.0,22,26,17,24,18,49,0
UTTAR PRADESH_FAIZABAD,2002,119.0,15,17,12,18,24,33,0
UTTAR PRADESH_FAIZABAD,2003,75.0,10,11,4,6,42,2,0
UTTAR PRADESH_FAIZABAD,2004,110.0,12,17,14,18,25,24,0
UTTAR PRADESH_FAIZABAD,2005,149.0,11,33,15,13,29,48,0
UTTAR PRADESH_FAIZABAD,2006,150.0,14,28,12,18,24,54,0
UTTAR PRADESH_FAIZABAD,2007,186.0,23,32,17,23,37,54,0
UTTAR PRADESH_FAIZABAD,2008,252.0,23,56,18,26,43,86,0
UTTAR PRADESH_FAIZABAD,2009,195.0,22,69,18,27,21,38,0
UTTAR PRADESH_FAIZABAD,2010,146.0,16,69,18,27,0,16,0
UTTAR PRADESH_FATEHGARH,2001,213.0,9,38,22,23,28,93,0
UTTAR PRADESH_FATEHGARH,2002,66.0,9,25,32,0,0,0,0
UTTAR PRADESH_FATEHGARH,2003,130.0,7,9,18,9,68,19,0
UTTAR PRADESH_FATEHGARH,2004,120.0,10,27,21,13,14,35,0
UTTAR PRADESH_FATEHGARH,2005,92.0,10,20,14,7,15,26,0
UTTAR PRADESH_FATEHGARH,2006,119.0,9,24,37,10,9,30,0
UTTAR PRADESH_FATEHGARH,2007,213.0,21,41,24,32,16,79,0
UTTAR PRADESH_FATEHGARH,2008,265.0,23,41,26,35,56,84,0
UTTAR PRADESH_FATEHGARH,2009,208.0,17,61,23,30,16,61,0
UTTAR PRADESH_FATEHGARH,2010,146.0,11,55,24,26,0,30,0
UTTAR PRADESH_FATEHPUR,2001,200.0,28,27,46,25,15,59,0
UTTAR PRADESH_FATEHPUR,2002,131.0,12,19,26,18,12,44,0
UTTAR PRADESH_FATEHPUR,2003,79.0,3,14,24,4,19,15,0
UTTAR PRADESH_FATEHPUR,2004,104.0,10,16,23,19,19,17,0
UTTAR PRADESH_FATEHPUR,2005,88.0,7,18,22,11,9,21,0
UTTAR PRADESH_FATEHPUR,2006,109.0,9,20,27,14,21,18,0
UTTAR PRADESH_FATEHPUR,2007,204.0,22,38,33,29,21,61,0
UTTAR PRADESH_FATEHPUR,2008,213.0,16,42,41,32,15,67,0
UTTAR PRADESH_FATEHPUR,2009,213.0,28,44,38,39,13,51,0
UTTAR PRADESH_FATEHPUR,2010,270.0,33,57,42,53,2,83,0
UTTAR PRADESH_FIROZABAD,2001,320.0,22,59,48,33,69,89,0
UTTAR PRADESH_FIROZABAD,2002,301.0,26,51,36,37,46,105,0
UTTAR PRADESH_FIROZABAD,2003,247.0,12,32,30,33,89,51,0
UTTAR PRADESH_FIROZABAD,2004,250.0,10,37,48,33,33,89,0
UTTAR PRADESH_FIROZABAD,2005,224.0,17,44,48,16,42,57,0
UTTAR PRADESH_FIROZABAD,2006,281.0,16,57,35,29,38,106,0
UTTAR PRADESH_FIROZABAD,2007,417.0,28,69,56,58,51,155,0
UTTAR PRADESH_FIROZABAD,2008,343.0,27,78,41,43,77,77,0
UTTAR PRADESH_FIROZABAD,2009,392.0,26,95,47,59,35,130,0
UTTAR PRADESH_FIROZABAD,2010,266.0,18,78,54,33,0,83,0
UTTAR PRADESH_G.R.P.,2001,95.0,2,2,1,18,71,1,0
UTTAR PRADESH_G.R.P.,2002,48.0,2,4,0,11,31,0,0
UTTAR PRADESH_G.R.P.,2003,34.0,3,1,0,6,24,0,0
UTTAR PRADESH_G.R.P.,2004,57.0,2,2,0,15,38,0,0
UTTAR PRADESH_G.R.P.,2005,46.0,3,1,1,15,26,0,0
UTTAR PRADESH_G.R.P.,2006,46.0,1,3,0,18,24,0,0
UTTAR PRADESH_G.R.P.,2007,42.0,2,3,2,12,23,0,0
UTTAR PRADESH_G.R.P.,2008,66.0,2,8,0,18,38,0,0
UTTAR PRADESH_G.R.P.,2009,69.0,1,0,1,10,57,0,0
UTTAR PRADESH_G.R.P.,2010,30.0,1,6,3,20,0,0,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2001,196.0,16,30,17,39,40,54,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2002,157.0,19,29,17,20,30,42,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2003,98.0,10,19,14,13,19,23,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2004,179.0,20,26,14,24,56,39,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2005,190.0,18,42,14,28,43,45,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2006,221.0,26,31,13,35,57,59,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2007,260.0,17,64,14,41,51,73,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2008,236.0,22,49,25,19,53,68,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2009,295.0,24,60,22,40,46,103,0
UTTAR PRADESH_GAUTAMBUDH NAGAR,2010,308.0,39,77,19,41,0,132,0
UTTAR PRADESH_GHAZIABAD,2001,475.0,31,79,33,54,138,140,0
UTTAR PRADESH_GHAZIABAD,2002,429.0,20,69,21,35,108,176,0
UTTAR PRADESH_GHAZIABAD,2003,261.0,15,49,17,18,65,97,0
UTTAR PRADESH_GHAZIABAD,2004,415.0,25,88,35,31,94,142,0
UTTAR PRADESH_GHAZIABAD,2005,401.0,24,79,33,26,92,147,0
UTTAR PRADESH_GHAZIABAD,2006,465.0,29,86,41,26,93,190,0
UTTAR PRADESH_GHAZIABAD,2007,497.0,33,108,37,30,85,204,0
UTTAR PRADESH_GHAZIABAD,2008,522.0,30,138,39,30,83,202,0
UTTAR PRADESH_GHAZIABAD,2009,1266.0,53,321,66,88,182,556,0
UTTAR PRADESH_GHAZIABAD,2010,1011.0,44,285,69,77,0,536,0
UTTAR PRADESH_GHAZIPUR,2001,150.0,6,19,22,18,29,56,0
UTTAR PRADESH_GHAZIPUR,2002,99.0,4,7,14,12,12,50,0
UTTAR PRADESH_GHAZIPUR,2003,72.0,2,8,11,3,24,24,0
UTTAR PRADESH_GHAZIPUR,2004,112.0,4,8,17,19,15,49,0
UTTAR PRADESH_GHAZIPUR,2005,86.0,2,3,19,7,20,35,0
UTTAR PRADESH_GHAZIPUR,2006,99.0,8,11,22,8,17,33,0
UTTAR PRADESH_GHAZIPUR,2007,144.0,10,10,22,11,23,68,0
UTTAR PRADESH_GHAZIPUR,2008,157.0,6,22,33,17,15,64,0
UTTAR PRADESH_GHAZIPUR,2009,145.0,3,16,29,12,22,63,0
UTTAR PRADESH_GHAZIPUR,2010,105.0,5,15,32,12,0,41,0
UTTAR PRADESH_GONDA,2001,143.0,18,21,26,19,13,46,0
UTTAR PRADESH_GONDA,2002,126.0,11,23,29,20,16,27,0
UTTAR PRADESH_GONDA,2003,251.0,5,8,16,3,215,4,0
UTTAR PRADESH_GONDA,2004,127.0,14,21,15,12,63,2,0
UTTAR PRADESH_GONDA,2005,96.0,12,15,26,14,23,6,0
UTTAR PRADESH_GONDA,2006,142.0,22,35,28,27,23,7,0
UTTAR PRADESH_GONDA,2007,118.0,13,33,35,18,9,10,0
UTTAR PRADESH_GONDA,2008,175.0,27,44,43,39,10,12,0
UTTAR PRADESH_GONDA,2009,188.0,29,74,42,28,12,3,0
UTTAR PRADESH_GONDA,2010,159.0,9,67,47,30,0,6,0
UTTAR PRADESH_GORAKHPUR,2001,194.0,13,52,16,25,36,52,0
UTTAR PRADESH_GORAKHPUR,2002,199.0,27,39,30,28,19,56,0
UTTAR PRADESH_GORAKHPUR,2003,146.0,13,32,18,22,25,36,0
UTTAR PRADESH_GORAKHPUR,2004,234.0,24,37,25,26,43,79,0
UTTAR PRADESH_GORAKHPUR,2005,132.0,24,27,16,22,25,18,0
UTTAR PRADESH_GORAKHPUR,2006,217.0,23,39,16,24,45,70,0
UTTAR PRADESH_GORAKHPUR,2007,274.0,19,51,23,22,76,83,0
UTTAR PRADESH_GORAKHPUR,2008,495.0,46,117,43,30,43,216,0
UTTAR PRADESH_GORAKHPUR,2009,533.0,43,94,50,44,47,255,0
UTTAR PRADESH_GORAKHPUR,2010,640.0,45,199,61,69,0,266,0
UTTAR PRADESH_HAMIRPUR,2001,116.0,14,16,22,32,7,25,0
UTTAR PRADESH_HAMIRPUR,2002,98.0,9,6,17,34,4,28,0
UTTAR PRADESH_HAMIRPUR,2003,48.0,10,4,12,15,5,2,0
UTTAR PRADESH_HAMIRPUR,2004,73.0,12,9,16,23,6,7,0
UTTAR PRADESH_HAMIRPUR,2005,63.0,9,10,6,17,11,10,0
UTTAR PRADESH_HAMIRPUR,2006,59.0,8,5,12,16,7,11,0
UTTAR PRADESH_HAMIRPUR,2007,50.0,8,7,9,16,5,5,0
UTTAR PRADESH_HAMIRPUR,2008,69.0,9,19,13,13,5,10,0
UTTAR PRADESH_HAMIRPUR,2009,106.0,16,18,20,21,9,22,0
UTTAR PRADESH_HAMIRPUR,2010,81.0,6,13,15,25,0,22,0
UTTAR PRADESH_HARDOI,2001,436.0,70,60,63,86,21,136,0
UTTAR PRADESH_HARDOI,2002,263.0,39,36,26,54,36,72,0
UTTAR PRADESH_HARDOI,2003,223.0,24,31,18,30,83,37,0
UTTAR PRADESH_HARDOI,2004,339.0,37,50,44,68,76,64,0
UTTAR PRADESH_HARDOI,2005,234.0,31,32,25,51,48,47,0
UTTAR PRADESH_HARDOI,2006,236.0,30,37,35,55,26,53,0
UTTAR PRADESH_HARDOI,2007,241.0,33,38,42,45,26,57,0
UTTAR PRADESH_HARDOI,2008,317.0,42,60,50,67,30,68,0
UTTAR PRADESH_HARDOI,2009,308.0,29,87,45,61,13,73,0
UTTAR PRADESH_HARDOI,2010,222.0,20,73,24,50,0,55,0
UTTAR PRADESH_HATHRAS,2001,255.0,16,26,31,63,26,93,0
UTTAR PRADESH_HATHRAS,2002,236.0,25,30,21,41,12,107,0
UTTAR PRADESH_HATHRAS,2003,168.0,21,23,10,19,21,74,0
UTTAR PRADESH_HATHRAS,2004,260.0,16,26,24,39,21,134,0
UTTAR PRADESH_HATHRAS,2005,207.0,12,20,20,34,35,86,0
UTTAR PRADESH_HATHRAS,2006,217.0,23,30,22,50,28,64,0
UTTAR PRADESH_HATHRAS,2007,336.0,16,50,17,48,26,179,0
UTTAR PRADESH_HATHRAS,2008,234.0,17,37,27,43,18,92,0
UTTAR PRADESH_HATHRAS,2009,284.0,22,52,23,33,8,146,0
UTTAR PRADESH_HATHRAS,2010,266.0,24,60,30,45,0,107,0
UTTAR PRADESH_J.P.NAGAR,2001,228.0,23,36,14,35,22,98,0
UTTAR PRADESH_J.P.NAGAR,2002,164.0,15,27,10,22,10,80,0
UTTAR PRADESH_J.P.NAGAR,2003,182.0,6,14,13,4,121,24,0
UTTAR PRADESH_J.P.NAGAR,2004,174.0,27,19,6,26,30,66,0
UTTAR PRADESH_J.P.NAGAR,2005,134.0,22,14,8,30,40,20,0
UTTAR PRADESH_J.P.NAGAR,2006,183.0,21,23,14,22,57,46,0
UTTAR PRADESH_J.P.NAGAR,2007,227.0,28,34,12,34,34,85,0
UTTAR PRADESH_J.P.NAGAR,2008,173.0,20,34,16,26,37,40,0
UTTAR PRADESH_J.P.NAGAR,2009,207.0,26,36,16,21,39,69,0
UTTAR PRADESH_J.P.NAGAR,2010,191.0,24,52,21,25,0,69,0
UTTAR PRADESH_JALAUN,2001,175.0,6,14,29,40,21,65,0
UTTAR PRADESH_JALAUN,2002,98.0,4,14,22,19,17,22,0
UTTAR PRADESH_JALAUN,2003,75.0,6,8,22,11,13,15,0
UTTAR PRADESH_JALAUN,2004,107.0,7,13,28,17,22,20,0
UTTAR PRADESH_JALAUN,2005,99.0,3,8,21,13,37,17,0
UTTAR PRADESH_JALAUN,2006,155.0,4,20,36,31,18,46,0
UTTAR PRADESH_JALAUN,2007,181.0,8,19,32,42,37,43,0
UTTAR PRADESH_JALAUN,2008,178.0,6,30,37,34,24,47,0
UTTAR PRADESH_JALAUN,2009,171.0,11,27,34,41,15,43,0
UTTAR PRADESH_JALAUN,2010,116.0,5,28,23,28,0,32,0
UTTAR PRADESH_JAUNPUR,2001,194.0,11,15,43,21,19,85,0
UTTAR PRADESH_JAUNPUR,2002,119.0,8,15,23,18,10,45,0
UTTAR PRADESH_JAUNPUR,2003,119.0,4,13,22,6,45,29,0
UTTAR PRADESH_JAUNPUR,2004,158.0,19,17,29,9,21,63,0
UTTAR PRADESH_JAUNPUR,2005,147.0,13,21,26,15,32,40,0
UTTAR PRADESH_JAUNPUR,2006,228.0,18,21,46,26,34,83,0
UTTAR PRADESH_JAUNPUR,2007,247.0,24,33,47,28,44,71,0
UTTAR PRADESH_JAUNPUR,2008,342.0,19,41,44,38,39,161,0
UTTAR PRADESH_JAUNPUR,2009,324.0,18,68,47,30,25,136,0
