STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total_Crimes
ANDHRA PRADESH_MEDAK,2009,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0
ANDHRA PRADESH_MEDAK,2010,2.0,22.0,0.0,1.0,0.0,16.0,21.0,0.0,0.0,0.0,2.0,64.0
ANDHRA PRADESH_NALGONDA,2001,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
ANDHRA PRADESH_NALGONDA,2002,3.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
ANDHRA PRADESH_NALGONDA,2003,5.0,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
ANDHRA PRADESH_NALGONDA,2004,3.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
ANDHRA PRADESH_NALGONDA,2005,0.0,33.0,31.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,73.0
ANDHRA PRADESH_NALGONDA,2006,0.0,42.0,53.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,103.0
ANDHRA PRADESH_NALGONDA,2007,0.0,46.0,65.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,123.0
ANDHRA PRADESH_NALGONDA,2008,0.0,57.0,27.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,93.0
ANDHRA PRADESH_NALGONDA,2009,0.0,45.0,62.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,112.0
ANDHRA PRADESH_NALGONDA,2010,0.0,44.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,105.0
ANDHRA PRADESH_NELLORE,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_NELLORE,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_NELLORE,2003,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0
ANDHRA PRADESH_NELLORE,2004,2.0,7.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,9.0,31.0
ANDHRA PRADESH_NELLORE,2005,3.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,33.0
ANDHRA PRADESH_NELLORE,2006,1.0,18.0,6.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,125.0,178.0
ANDHRA PRADESH_NELLORE,2007,5.0,17.0,12.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,138.0,199.0
ANDHRA PRADESH_NELLORE,2008,1.0,13.0,13.0,0.0,0.0,4.0,28.0,0.0,0.0,0.0,101.0,160.0
ANDHRA PRADESH_NELLORE,2009,1.0,13.0,20.0,0.0,2.0,9.0,24.0,0.0,0.0,0.0,90.0,159.0
ANDHRA PRADESH_NELLORE,2010,1.0,14.0,19.0,0.0,0.0,8.0,29.0,0.0,1.0,0.0,107.0,179.0
ANDHRA PRADESH_NIZAMABAD,2001,3.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,39.0,54.0
ANDHRA PRADESH_NIZAMABAD,2002,3.0,10.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,15.0,39.0
ANDHRA PRADESH_NIZAMABAD,2003,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0
ANDHRA PRADESH_NIZAMABAD,2004,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
ANDHRA PRADESH_NIZAMABAD,2005,6.0,8.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,29.0
ANDHRA PRADESH_NIZAMABAD,2006,0.0,9.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,21.0
ANDHRA PRADESH_NIZAMABAD,2007,3.0,2.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,27.0
ANDHRA PRADESH_NIZAMABAD,2008,2.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,16.0
ANDHRA PRADESH_NIZAMABAD,2009,2.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,19.0
ANDHRA PRADESH_NIZAMABAD,2010,2.0,13.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,37.0
ANDHRA PRADESH_PRAKASHAM,2001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ANDHRA PRADESH_PRAKASHAM,2002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANDHRA PRADESH_PRAKASHAM,2003,1.0,14.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,36.0
ANDHRA PRADESH_PRAKASHAM,2004,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ANDHRA PRADESH_PRAKASHAM,2005,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ANDHRA PRADESH_PRAKASHAM,2006,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,16.0
ANDHRA PRADESH_PRAKASHAM,2007,4.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,21.0
ANDHRA PRADESH_PRAKASHAM,2008,3.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,8.0,23.0
